edge_id,source_node_id,target_node_id,length,car,car_reverse,bike,bike_reverse,foot
80,1,81,12,4,5,3,5,3
81,1,82,4,4,1,6,5,6
82,1,83,50,3,5,4,1,2
83,1,84,92,2,6,5,3,1
84,1,85,61,5,5,6,2,2
85,1,86,65,1,2,4,6,6
86,1,87,37,2,3,6,1,5
87,1,88,53,5,2,6,1,2
88,1,89,53,3,4,3,6,6
89,1,90,58,1,1,5,2,4
90,1,91,13,3,4,5,5,1
91,1,92,11,2,2,4,1,5
92,1,93,75,6,5,5,2,4
93,1,94,84,6,4,4,6,6
94,1,95,12,2,3,4,3,2
95,1,96,6,6,2,6,1,5
96,1,97,58,5,1,5,4,2
97,1,98,69,5,5,3,6,5
98,1,99,75,6,3,6,2,2
99,1,100,16,1,2,4,3,3
100,1,101,16,3,6,3,3,3
101,1,102,71,1,5,1,3,5
102,1,103,52,5,6,3,2,6
103,1,104,31,1,1,6,2,6
104,1,105,36,3,4,6,2,3
105,1,106,73,2,3,1,3,5
106,1,107,93,2,6,5,6,6
107,1,108,59,3,1,2,5,2
108,1,109,79,3,3,2,3,3
109,1,110,39,6,6,1,5,4
110,1,111,9,3,4,1,6,5
111,1,112,38,1,2,6,6,2
112,1,113,12,4,3,2,4,5
113,1,114,38,2,2,4,4,1
114,1,115,52,4,6,6,3,6
115,1,116,39,3,4,6,5,2
116,1,117,22,6,2,5,4,4
117,1,118,1,3,5,4,5,5
118,1,119,81,4,1,2,4,6
119,1,120,65,6,1,4,4,5
120,1,121,82,3,4,6,1,4
121,1,122,35,3,3,1,3,3
122,1,123,53,1,1,6,6,2
123,1,124,33,6,5,2,2,5
124,1,125,27,6,1,4,2,3
125,1,126,19,4,5,5,2,6
126,1,127,3,3,1,2,3,1
127,1,128,97,2,1,3,5,2
128,1,129,78,4,2,4,5,2
129,1,130,22,3,1,5,1,5
130,1,131,70,4,6,5,6,2
131,1,132,27,3,2,5,3,3
132,1,133,33,4,1,1,1,5
133,1,134,20,2,1,1,6,4
134,1,135,72,4,6,5,5,1
135,1,136,76,3,5,1,6,4
136,1,137,9,5,6,6,2,3
137,1,138,70,1,6,2,6,2
138,1,139,13,1,5,3,2,5
139,1,140,78,1,3,2,6,1
140,1,141,59,5,6,2,2,5
141,1,142,45,4,6,6,1,3
142,1,143,3,6,5,2,3,4
143,1,144,87,6,5,4,2,5
144,1,145,34,6,4,4,5,3
145,1,146,29,6,4,2,3,2
146,1,147,83,1,5,1,6,2
147,1,148,38,3,1,6,2,4
148,1,149,65,6,4,4,4,1
149,1,150,7,4,4,2,4,4
150,1,151,20,2,1,2,3,1
151,1,152,76,6,6,2,3,6
152,1,153,52,2,5,5,1,3
153,1,154,40,3,3,1,6,1
154,1,155,54,5,6,4,4,1
155,1,156,42,4,5,2,3,1
156,1,157,31,6,6,3,1,6
157,1,158,54,5,4,5,2,6
158,1,159,93,4,2,5,5,2
159,1,160,44,4,4,2,5,2
160,1,161,65,3,1,6,4,1
161,1,162,5,3,1,1,3,1
162,1,163,15,1,4,6,1,4
163,1,164,61,6,5,4,3,2
164,1,165,16,5,5,1,2,1
165,1,166,38,5,6,1,3,4
166,1,167,35,6,5,6,6,5
167,1,168,37,5,2,4,3,5
168,1,169,92,3,6,2,5,3
169,1,170,71,6,3,3,4,5
170,1,171,55,1,3,4,1,3
171,1,172,92,6,3,5,2,4
172,1,173,37,3,3,2,3,3
173,1,174,89,2,4,2,3,4
174,1,175,12,6,2,5,2,2
175,1,176,32,6,1,5,5,3
176,1,177,16,2,2,4,3,4
177,1,178,37,5,5,1,3,3
178,1,179,31,2,5,1,5,3
179,1,180,10,2,3,1,5,3
180,1,181,87,2,3,5,1,1
181,1,182,95,3,4,5,4,2
182,1,183,24,6,2,2,1,2
183,1,184,70,2,2,1,1,5
184,1,185,38,3,4,5,1,2
185,1,186,95,2,1,5,6,4
186,1,187,56,3,3,1,1,6
187,1,188,75,2,6,6,3,3
188,1,189,22,4,4,5,4,6
189,1,190,55,2,5,6,3,5
190,1,191,68,6,2,1,1,4
191,1,192,70,2,1,2,2,6
192,1,193,32,1,5,6,6,2
193,1,194,38,1,5,1,4,2
194,1,195,65,6,4,3,3,5
195,1,196,1,5,6,6,5,6
196,1,197,72,4,1,5,1,5
197,1,198,24,2,1,2,4,1
198,1,199,78,6,4,4,5,3
199,1,200,10,6,5,3,2,2
200,1,201,30,6,5,1,2,6
201,1,202,28,6,3,1,6,3
202,1,203,48,4,1,6,2,1
203,1,204,21,5,5,1,2,4
204,1,205,71,2,4,2,2,4
205,1,206,74,3,2,4,4,1
206,1,207,83,1,5,6,6,3
207,1,208,36,6,5,1,4,1
208,1,209,85,2,3,6,4,3
209,1,210,85,6,6,1,2,4
210,1,211,95,5,5,6,2,6
211,1,212,98,4,1,2,5,4
212,1,213,64,4,4,5,6,2
213,1,214,88,1,1,1,6,5
214,1,215,81,4,3,1,3,2
215,1,216,8,2,2,6,4,6
216,1,217,68,4,4,3,5,4
217,1,218,57,5,5,6,2,2
218,1,219,45,1,5,1,3,6
219,1,220,38,6,5,1,5,3
220,1,221,52,5,4,3,4,3
221,1,222,24,4,3,5,6,3
222,1,223,67,6,2,2,3,4
223,1,224,48,4,3,1,3,2
224,1,225,6,5,1,2,2,2
225,1,226,78,5,1,5,1,3
226,1,227,94,4,6,1,6,5
227,1,228,75,6,6,4,2,3
228,1,229,23,1,3,1,4,1
229,1,230,65,2,5,4,5,3
230,1,231,73,1,6,2,1,6
231,1,232,46,4,1,5,1,4
232,1,233,13,3,6,3,2,4
233,1,234,14,4,6,1,6,1
234,1,235,99,3,4,3,6,1
235,1,236,57,6,1,5,4,2
236,1,237,10,2,3,2,2,1
237,1,238,13,3,2,1,4,3
238,1,239,11,1,2,4,2,6
239,1,240,59,2,4,1,1,6
240,1,241,67,6,6,1,2,2
241,1,242,92,6,4,2,6,6
242,1,243,38,2,3,4,2,4
243,1,244,1,3,1,2,5,2
244,1,245,38,5,4,3,4,1
245,1,246,70,1,3,1,4,1
246,1,247,33,4,1,1,2,6
247,1,248,1,5,6,6,6,2
248,1,249,14,2,6,3,5,2
249,1,250,61,1,3,5,1,4
250,1,251,10,2,6,5,1,2
251,1,252,89,5,3,6,5,5
252,1,253,73,4,2,1,1,2
253,1,254,1,1,1,5,3,4
254,1,255,100,5,2,4,5,4
255,1,256,68,1,5,1,2,5
256,1,257,19,3,5,5,4,4
257,1,258,75,3,3,2,2,1
258,1,259,95,1,6,4,1,3
259,1,260,35,2,2,6,5,1
260,1,261,95,6,4,2,2,4
261,1,262,89,6,5,4,1,4
262,1,263,18,6,5,5,2,1
263,1,264,47,1,6,3,4,4
264,1,265,34,3,5,6,5,5
265,1,266,72,6,1,6,2,4
266,1,267,81,1,3,2,3,6
267,1,268,58,3,3,1,3,2
268,1,269,56,3,4,4,1,1
269,1,270,85,1,2,5,6,6
270,1,271,20,4,5,1,4,5
271,1,272,4,3,4,5,1,4
272,1,273,78,6,4,6,2,2
273,1,274,92,1,1,5,5,4
274,1,275,19,3,5,3,3,4
275,1,276,47,4,4,5,3,2
276,1,277,61,3,5,2,5,3
277,1,278,97,5,6,1,3,5
278,1,279,30,3,1,3,5,5
279,1,280,70,2,5,4,1,6
280,1,281,20,4,6,2,5,3
281,1,282,11,4,2,2,2,1
282,1,283,15,1,1,1,4,5
283,1,284,22,5,2,5,3,2
284,1,285,15,2,2,1,1,6
285,1,286,98,4,1,2,4,5
286,1,287,66,2,1,4,5,2
287,1,288,26,1,4,6,3,3
288,1,289,29,3,2,5,4,1
289,1,290,8,5,2,4,4,6
290,1,291,16,1,3,3,1,6
291,1,292,41,2,5,1,2,3
292,1,293,33,4,6,6,6,2
293,1,294,82,5,4,5,1,4
294,1,295,16,5,4,2,3,3
295,1,296,62,4,2,5,5,2
296,1,297,69,4,2,4,6,5
297,1,298,55,5,4,2,2,1
298,1,299,45,6,4,4,2,2
299,1,300,97,4,5,1,1,2
300,1,301,96,4,3,4,6,5
301,1,302,12,6,5,3,1,2
302,1,303,18,5,1,1,1,2
303,1,304,10,3,6,1,2,2
304,1,305,93,1,6,6,2,1
305,1,306,19,5,4,2,6,1
306,1,307,35,3,6,6,1,1
307,1,308,23,6,1,6,5,4
308,1,309,31,2,2,5,3,2
309,1,310,37,3,4,4,4,2
310,1,311,53,3,4,5,2,4
311,1,312,38,3,2,2,2,2
312,1,313,90,4,3,5,1,1
313,1,314,77,3,4,6,2,2
314,1,315,40,6,5,3,5,5
315,1,316,92,3,6,6,2,3
316,1,317,79,4,5,4,3,4
317,1,318,42,6,2,1,2,2
318,1,319,89,4,1,4,4,3
319,1,320,33,2,5,6,5,4
320,1,321,35,1,4,6,5,1
321,1,322,30,1,3,5,4,4
322,1,323,51,2,1,1,6,5
323,1,324,47,5,1,5,6,1
324,1,325,25,1,4,4,6,6
325,1,326,90,1,2,6,2,3
326,1,327,9,2,5,2,5,2
327,1,328,6,2,3,3,6,2
328,1,329,48,4,4,2,3,3
329,1,330,70,4,5,4,2,6
330,1,331,60,4,5,1,4,3
331,1,332,65,3,6,1,3,2
332,1,333,67,6,2,2,1,6
333,1,334,75,2,1,3,3,4
334,1,335,100,1,1,4,6,6
335,1,336,18,5,6,1,4,4
336,1,337,75,1,3,5,3,3
337,1,338,71,4,1,3,2,2
338,1,339,58,2,2,4,4,1
339,1,340,27,4,1,5,2,5
340,1,341,59,4,3,5,4,3
341,1,342,81,6,3,1,3,2
342,1,343,10,4,1,1,1,2
343,1,344,4,1,6,6,5,5
344,1,345,9,5,5,1,2,2
345,1,346,89,3,2,5,2,5
346,1,347,54,5,6,3,3,2
347,1,348,50,4,5,2,4,1
348,1,349,76,5,5,6,1,5
349,1,350,65,4,4,3,4,5
350,1,351,1,3,5,3,2,2
351,1,352,88,4,1,2,4,1
352,1,353,59,6,3,5,2,6
353,1,354,80,3,3,1,2,2
354,1,355,89,2,3,2,3,3
355,1,356,30,4,6,3,2,3
356,1,357,100,2,4,2,5,6
357,1,358,65,6,2,2,1,6
358,1,359,9,3,3,5,4,4
359,1,360,80,6,5,6,1,3
360,1,361,38,4,1,5,1,4
361,1,362,76,1,4,2,1,3
362,1,363,26,1,2,2,5,1
363,1,364,34,4,1,2,3,6
364,1,365,61,6,4,4,2,6
365,1,366,16,2,3,2,5,3
366,1,367,61,6,4,4,1,5
367,1,368,7,2,5,2,4,6
368,1,369,50,6,4,1,1,6
369,1,370,53,6,3,3,1,5
370,1,371,98,2,3,5,2,4
371,1,372,2,1,6,5,4,3
372,1,373,57,1,4,2,3,6
373,1,374,9,1,3,6,1,1
374,1,375,88,6,1,3,3,4
375,1,376,79,1,3,4,5,3
376,1,377,41,2,5,1,3,6
377,1,378,93,1,3,4,6,5
378,1,379,10,6,5,2,6,5
379,1,380,44,1,2,3,3,6
380,1,381,99,5,5,3,6,6
381,1,382,2,6,3,4,2,1
382,1,383,36,1,6,3,3,3
383,1,384,83,6,6,1,3,4
384,1,385,50,5,2,3,1,3
385,1,386,48,5,2,1,1,5
386,1,387,8,4,5,2,4,4
387,1,388,52,1,6,3,4,1
388,1,389,37,4,6,6,4,5
389,1,390,76,4,5,4,2,6
390,1,391,84,3,5,4,5,1
391,1,392,59,5,2,3,1,6
392,1,393,9,6,3,5,1,4
393,1,394,47,2,5,2,6,4
394,1,395,100,1,1,3,4,6
395,1,396,31,2,1,2,6,1
396,1,397,16,4,4,4,5,6
397,1,398,27,3,5,4,5,4
398,1,399,76,4,4,1,3,6
399,1,400,89,5,6,1,5,1
400,1,401,79,1,1,4,5,3
401,1,402,33,2,6,5,4,3
402,1,403,41,1,6,6,6,2
403,1,404,60,1,5,3,5,4
404,1,405,73,4,4,1,5,4
405,1,406,1,1,2,3,3,3
406,1,407,82,4,6,6,1,1
407,1,408,73,6,1,5,4,4
408,1,409,90,1,1,3,2,4
409,1,410,80,3,4,3,1,4
410,1,411,1,5,1,3,3,2
411,1,412,53,3,5,3,3,3
412,1,413,19,1,4,1,1,6
413,1,414,34,6,3,6,2,2
414,1,415,65,3,6,5,4,6
415,1,416,99,6,2,2,3,4
416,1,417,38,2,1,2,1,6
417,1,418,75,5,1,2,5,6
418,1,419,69,2,1,1,6,4
419,1,420,64,5,3,3,3,2
420,1,421,49,4,4,6,4,2
421,1,422,16,3,1,5,4,3
422,1,423,88,1,5,3,1,3
423,1,424,1,5,1,6,4,2
424,1,425,73,2,5,1,4,1
425,1,426,45,4,5,4,4,5
426,1,427,84,1,4,4,2,5
427,1,428,97,2,6,5,6,6
428,1,429,99,3,5,2,6,1
429,1,430,96,1,6,4,4,1
430,1,431,89,6,5,3,3,1
431,1,432,34,6,1,5,3,6
432,1,433,95,6,3,6,2,1
433,1,434,74,1,2,3,1,4
434,1,435,15,4,3,3,3,5
435,1,436,18,6,1,2,3,4
436,1,437,11,1,4,5,6,6
437,1,438,87,5,1,2,1,2
438,1,439,3,4,4,4,3,3
439,1,440,81,6,4,6,3,4
440,1,441,16,6,4,4,5,2
441,1,442,66,1,2,2,2,4
442,1,443,6,2,4,6,6,3
443,1,444,32,3,2,2,2,1
444,1,445,87,5,3,2,1,5
445,1,446,91,2,6,6,4,4
446,1,447,92,1,4,6,2,4
447,1,448,49,6,5,2,2,2
448,1,449,9,6,4,5,4,3
449,1,450,11,4,6,6,3,2
450,1,451,31,5,3,2,5,5
451,1,452,86,2,1,2,3,4
452,1,453,17,3,4,3,4,2
453,1,454,42,2,1,3,1,6
454,1,455,18,1,2,6,3,5
455,1,456,30,4,1,1,6,3
456,1,457,94,4,3,4,3,1
457,1,458,34,6,2,6,2,6
458,1,459,57,3,1,5,3,3
459,1,460,26,4,5,1,2,2
460,1,461,4,2,4,1,2,5
461,1,462,89,3,1,4,4,6
462,1,463,80,5,1,2,5,5
463,1,464,95,3,3,2,1,3
464,1,465,44,1,5,4,5,1
465,1,466,10,4,2,4,4,1
466,1,467,29,1,3,6,6,5
467,1,468,95,4,1,1,3,2
468,1,469,54,1,5,2,3,1
469,1,470,62,6,2,6,3,1
470,1,471,25,6,5,4,2,1
471,1,472,10,3,6,5,2,6
472,1,473,15,6,2,1,4,5
473,1,474,57,4,4,1,4,2
474,1,475,90,1,4,4,2,1
475,1,476,69,1,6,1,6,5
476,1,477,2,1,5,5,2,6
477,1,478,65,3,1,1,6,5
478,1,479,13,1,3,2,4,2
479,1,480,36,3,2,6,3,6
480,1,481,46,1,4,3,1,2
481,1,482,81,2,6,5,1,6
482,1,483,19,2,4,4,4,2
483,1,484,11,6,1,6,6,2
484,1,485,64,2,2,2,5,1
485,1,486,61,6,4,1,4,4
486,1,487,56,3,6,3,1,4
487,1,488,55,4,3,5,5,6
488,1,489,96,6,3,6,4,1
489,1,490,23,6,6,2,3,1
490,1,491,7,1,3,2,4,4
491,1,492,48,5,2,3,2,5
492,1,493,24,3,6,2,4,2
493,1,494,92,1,3,1,3,5
494,1,495,84,6,6,6,2,1
495,1,496,96,2,3,6,2,1
496,1,497,3,1,3,3,1,4
497,1,498,84,6,1,2,6,5
498,1,499,81,6,2,2,2,3
499,1,500,2,6,6,1,4,4
500,2,3,31,6,3,4,1,2
501,2,4,97,3,1,2,5,6
502,2,5,69,5,1,4,3,1
503,2,6,83,4,3,5,2,4
504,2,7,15,3,3,6,1,1
505,2,8,87,4,2,3,4,5
506,2,9,33,5,3,6,2,2
507,2,10,28,1,5,5,3,4
508,2,11,19,6,1,6,4,4
509,2,12,83,2,6,2,3,4
510,2,13,58,1,4,3,5,1
511,2,14,92,5,1,6,1,5
512,2,15,95,4,5,5,3,1
513,2,16,45,6,5,2,5,4
514,2,17,16,4,5,5,2,5
515,2,18,48,4,2,5,6,6
516,2,19,87,6,5,6,3,1
517,2,20,26,5,5,5,5,5
518,2,21,65,6,1,5,1,2
519,2,22,47,3,1,6,5,2
520,2,23,24,5,4,1,4,4
521,2,24,92,3,5,4,5,3
522,2,25,10,6,1,5,3,5
523,2,26,17,6,1,3,4,2
524,2,27,51,6,2,6,5,3
525,2,28,57,5,6,6,4,5
526,2,29,79,6,4,3,4,6
527,2,30,35,6,5,6,6,4
528,2,31,71,1,1,3,5,2
529,2,32,56,6,5,2,5,3
530,2,33,30,4,1,1,2,3
531,2,34,17,1,4,1,1,3
532,2,35,44,3,6,5,3,5
533,2,36,8,1,3,5,3,5
534,2,37,31,3,2,5,6,1
535,2,38,32,1,5,4,1,6
536,2,39,80,4,4,2,4,2
537,2,40,48,1,6,6,3,3
538,2,41,10,5,3,4,4,3
539,2,42,37,5,3,4,4,3
540,2,43,1,1,4,6,3,4
541,2,44,54,4,5,4,4,4
542,2,45,11,5,5,4,2,4
543,2,46,8,2,3,6,6,4
544,2,47,89,4,4,4,3,6
545,2,48,56,5,3,5,4,1
546,2,49,50,3,2,2,3,6
547,2,50,88,5,3,2,5,2
548,2,51,95,6,1,1,6,2
549,2,52,36,1,1,1,2,1
550,2,53,95,4,2,4,1,2
551,2,54,53,3,2,2,1,4
552,2,55,14,4,1,4,4,2
553,2,56,95,1,6,2,2,6
554,2,57,10,2,2,4,5,4
555,2,58,42,1,4,3,5,3
556,2,59,69,5,6,4,1,5
557,2,60,13,4,6,1,1,6
558,2,61,49,5,6,4,4,3
559,2,62,33,3,4,2,3,2
560,2,63,90,5,2,4,5,6
561,2,64,51,2,3,3,1,1
562,2,65,40,4,2,5,1,4
563,2,66,88,1,2,4,2,1
564,2,67,73,3,1,3,3,4
565,2,68,35,1,6,1,4,6
566,2,69,52,5,1,2,2,1
567,2,70,83,6,6,1,6,1
568,2,71,26,2,6,1,6,5
569,2,72,45,5,6,1,6,1
570,2,73,94,4,4,1,1,6
571,2,74,86,1,3,2,6,5
572,2,75,8,4,6,3,5,1
573,2,76,69,1,2,6,5,2
574,2,77,88,1,3,4,5,2
575,2,78,97,2,3,4,1,2
576,2,79,67,6,5,6,2,5
577,2,80,15,6,6,6,6,3
578,2,81,56,1,6,4,3,2
579,2,82,30,4,2,6,6,4
580,2,83,96,1,1,5,5,1
581,2,84,77,5,6,2,1,1
582,2,85,63,2,5,3,2,5
583,2,86,73,3,1,2,3,3
584,2,87,54,5,5,4,5,6
585,2,88,76,5,2,3,5,1
586,2,89,57,1,5,4,6,4
587,2,90,21,4,2,4,5,6
588,2,91,59,5,3,6,2,5
589,2,92,11,4,6,1,5,2
590,2,93,69,6,4,1,6,4
591,2,94,3,4,2,2,2,1
592,2,95,2,2,1,1,6,5
593,2,96,23,6,1,1,1,5
594,2,97,26,4,1,1,2,6
595,2,98,64,6,2,4,4,6
596,2,99,92,4,6,5,5,3
597,2,100,73,5,2,4,5,6
598,2,101,91,1,4,1,2,1
599,2,102,45,5,4,2,6,3
600,2,103,12,3,3,3,4,6
601,2,104,1,2,4,1,2,4
602,2,105,63,1,1,4,6,6
603,2,106,61,1,6,2,2,5
604,2,107,78,5,1,2,1,6
605,2,108,96,6,3,1,5,4
606,2,109,63,6,2,1,6,2
607,2,110,83,1,4,1,1,2
608,2,111,31,6,5,4,2,4
609,2,112,70,3,5,6,1,5
610,2,113,50,4,5,2,6,6
611,2,114,62,4,1,5,5,3
612,2,115,50,4,5,4,4,2
613,2,116,84,3,3,5,1,1
614,2,117,12,6,6,4,3,2
615,2,118,68,6,6,4,6,5
616,2,119,99,1,6,1,3,5
617,2,120,11,5,6,1,5,6
618,2,121,96,4,4,3,1,3
619,2,122,36,2,5,6,4,5
620,2,123,87,3,4,5,1,1
621,2,124,40,1,6,2,2,4
622,2,125,37,2,3,1,6,2
623,2,126,75,3,5,2,5,3
624,2,127,81,4,6,4,6,6
625,2,128,66,3,5,2,2,5
626,2,129,34,1,5,1,4,2
627,2,130,6,1,4,3,3,4
628,2,131,7,2,3,4,3,1
629,2,132,67,1,5,5,4,4
630,2,133,94,2,3,4,1,4
631,2,134,28,6,5,4,6,4
632,2,135,83,4,6,2,2,2
633,2,136,97,1,4,3,3,2
634,2,137,56,5,3,2,2,1
635,2,138,8,6,2,6,2,1
636,2,139,5,5,1,4,1,5
637,2,140,28,1,3,3,3,6
638,2,141,33,1,2,3,4,6
639,2,142,41,1,4,1,3,6
640,2,143,40,5,1,4,1,4
641,2,144,59,1,5,2,3,5
642,2,145,36,4,5,6,1,4
643,2,146,92,3,1,5,2,2
644,2,147,2,3,1,6,2,4
645,2,148,16,6,1,3,2,1
646,2,149,62,1,4,1,4,4
647,2,150,63,1,2,5,1,6
648,2,151,78,4,1,2,2,6
649,2,152,92,5,3,6,2,3
650,2,153,20,2,6,1,5,3
651,2,154,23,4,3,4,3,3
652,2,155,98,5,3,2,4,2
653,2,156,23,4,3,6,4,2
654,2,157,7,2,3,4,2,6
655,2,158,98,1,3,2,1,1
656,2,159,41,5,4,5,3,4
657,2,160,85,5,3,5,1,3
658,2,161,1,6,2,6,3,1
659,2,162,13,2,3,5,6,5
660,2,163,3,5,5,2,1,3
661,2,164,19,4,4,6,2,6
662,2,165,66,5,2,6,5,5
663,2,166,62,6,2,1,4,5
664,2,167,74,3,4,4,6,3
665,2,168,100,2,1,6,2,6
666,2,169,82,4,1,2,5,1
667,2,170,93,1,1,6,3,2
668,2,171,80,3,6,3,3,5
669,2,172,75,6,5,6,6,2
670,2,173,26,1,3,6,5,5
671,2,174,19,3,4,5,6,6
672,2,175,67,2,2,4,4,2
673,2,176,9,2,3,3,6,5
674,2,177,100,2,4,6,2,4
675,2,178,17,2,1,6,4,6
676,2,179,92,1,1,2,5,4
677,2,180,62,3,1,2,6,4
678,2,181,39,2,4,6,5,3
679,2,182,96,5,2,4,4,2
680,2,183,27,1,5,4,1,3
681,2,184,74,1,4,5,3,2
682,2,185,76,4,1,3,6,1
683,2,186,5,6,4,4,4,5
684,2,187,43,4,6,3,2,1
685,2,188,40,1,3,4,2,1
686,2,189,40,5,3,3,5,4
687,2,190,19,1,3,3,6,3
688,2,191,86,2,6,1,6,3
689,2,192,61,1,6,3,5,1
690,2,193,82,1,5,6,1,2
691,2,194,46,5,3,5,4,6
692,2,195,95,3,6,3,3,5
693,2,196,59,4,4,6,3,1
694,2,197,67,6,1,2,2,2
695,2,198,12,5,1,3,3,5
696,2,199,56,4,1,5,2,3
697,2,200,38,5,4,5,6,4
698,2,201,73,3,5,1,2,4
699,2,202,17,5,6,6,5,2
700,2,203,6,1,4,1,2,4
701,2,204,87,1,2,5,5,1
702,2,205,25,2,2,5,3,6
703,2,206,85,5,6,6,3,2
704,2,207,1,6,3,3,5,1
705,2,208,4,2,2,2,6,6
706,2,209,27,2,4,1,5,2
707,2,210,15,3,3,3,6,5
708,2,211,44,6,3,6,4,4
709,2,212,34,4,2,1,2,4
710,2,213,21,1,1,5,5,5
711,2,214,43,5,3,4,3,6
712,2,215,91,2,1,6,2,1
713,2,216,77,3,2,1,6,1
714,2,217,69,1,2,2,4,4
715,2,218,25,1,5,4,1,6
716,2,219,88,2,3,1,1,3
717,2,220,8,1,6,2,6,4
718,2,221,69,6,3,3,2,5
719,2,222,38,3,6,2,5,2
720,2,223,33,2,4,5,2,5
721,2,224,49,5,1,4,5,1
722,2,225,48,4,4,3,2,3
723,2,226,64,2,1,5,3,4
724,2,227,79,2,1,1,1,3
725,2,228,87,6,3,2,5,6
726,2,229,24,6,2,5,1,1
727,2,230,41,5,6,5,3,5
728,2,231,5,3,4,2,4,3
729,2,232,53,1,3,4,6,3
730,2,233,82,4,3,1,1,1
731,2,234,14,1,1,6,6,3
732,2,235,44,5,1,1,1,1
733,2,236,33,2,4,2,2,2
734,2,237,40,2,1,3,4,5
735,2,238,41,4,2,4,4,2
736,2,239,86,3,3,1,3,1
737,2,240,48,2,5,6,2,1
738,2,241,2,1,1,6,5,2
739,2,242,72,3,5,4,2,5
740,2,243,34,6,5,3,2,3
741,2,244,70,6,1,6,6,4
742,2,245,30,2,2,5,1,1
743,2,246,20,6,1,4,6,6
744,2,247,49,5,4,6,1,5
745,2,248,49,6,4,3,2,5
746,2,249,77,4,4,4,6,2
747,2,250,44,1,6,2,1,4
748,2,251,59,5,1,1,4,5
749,2,252,28,6,4,1,5,2
750,2,253,86,6,5,5,2,3
751,2,254,57,5,1,6,3,2
752,2,255,47,1,6,2,1,5
753,2,256,61,6,2,4,2,1
754,2,257,28,1,3,4,1,4
755,2,258,14,2,5,4,6,5
756,2,259,98,3,1,1,4,2
757,2,260,55,2,5,1,2,5
758,2,261,98,4,5,2,4,3
759,2,262,100,1,1,3,1,3
760,2,263,91,2,1,5,1,5
761,2,264,51,4,2,1,2,2
762,2,265,73,6,3,3,4,4
763,2,266,18,4,3,6,5,6
764,2,267,5,6,1,6,2,6
765,2,268,99,6,2,5,2,5
766,2,269,80,6,3,3,6,3
767,2,270,7,2,3,5,2,4
768,2,271,86,3,5,3,3,6
769,2,272,77,3,5,6,4,4
770,2,273,77,4,1,3,1,6
771,2,274,72,5,6,4,6,1
772,2,275,18,6,1,4,5,6
773,2,276,65,3,1,1,2,2
